#####################################################################################################
# 12/11/2024, EXFOR: https://www-nds.iaea.org/exfor/servlet/X4sGetSubent?reqx=32861&subID=150443002 #
#####################################################################################################
#EN         DATA       ERR-1      FLAG
#MEV        B          B          NO-DIM
     0.128    0.10E-08    0.2E-09     1.
     0.133    0.17E-08    0.2E-09     2.
     0.141    0.18E-08    0.2E-09     1.
     0.147    0.25E-08    0.2E-09     2.
     0.155    0.38E-08    0.3E-09     1.
     0.161    0.50E-08    0.3E-09     2.
     0.168    0.72E-08    0.5E-09     1.
     0.175    0.96E-08    0.6E-09     2.
     0.181    0.16E-07    0.1E-08     1.
     0.189   0.142E-07    0.9E-09     2.
     0.194    0.23E-07    0.2E-08     1.
     0.202    0.20E-07    0.1E-08     2.
