#####################################################################################################
# 12/11/2024, EXFOR: https://www-nds.iaea.org/exfor/servlet/X4sGetSubent?reqx=32861&subID=134426002 #
#####################################################################################################
#EN         MISC1      MISC2      DATA       ERR-S      ERR-T
#KEV        KEV        KEV        MICRO-B    MICRO-B    MICRO-B
300.0      11.8       294.6      0.380      0.014      0.032
350.0      10.4       345.2      1.102      0.027      0.089
399.8      10.0       395.3      5.126      0.041      0.396
449.8      11.5       445.1      57.600     0.300      4.430
468.5      9.7        463.4      94.670     0.290      7.280
468.5      7.6        464.5      92.250     0.540      7.110
468.5      9.0        463.8      95.620     0.420      7.360
468.5      11.2       462.6      90.560     0.680      6.990
468.5      8.7        464.0      95.950     0.820      7.420
500.0      9.3        494.9      25.000     0.120      1.920
549.9      7.8        545.8      5.963      0.070      0.463
590.0      8.3        585.8      3.378      0.022      0.260
650.0      7.8        646.0      1.855      0.018      0.144
700.0      5.8        697.1      1.225      0.037      0.101
750.0      6.6        746.7      0.911      0.015      0.072
800.0      5.4        797.3      0.722      0.022      0.060
850.0      6.1        846.9      0.633      0.016      0.051
899.9      5.7        897.0      0.514      0.022      0.045
900.0      6.4        896.8      0.550      0.016      0.045
999.9      5.4        997.2      0.421      0.015      0.035
1000.0     4.7        997.6      0.467      0.018      0.040
1099.9     4.5        1097.7     0.417      0.019      0.038
1099.9     6.7        1096.6     0.442      0.013      0.036
1200.0     6.3        1196.8     0.444      0.018      0.039
1300.0     6.0        1297.0     0.555      0.017      0.046
1400.0     4.4        1397.8     0.797      0.036      0.071
1500.0     3.6        1498.1     1.567      0.055      0.132
1600.0     3.9        1598.1     4.156      0.088      0.331
1650.0     4.8        1647.7     12.430     0.100      0.960
1700.0     3.6        1698.2     35.590     0.420      2.770
1750.0     4.6        1747.6     7.262      0.079      0.563
1800.0     4.5        1797.7     2.985      0.097      0.249
1850.0     4.4        1847.8     1.847      0.041      0.148
1899.8     3.4        1898.0     1.535      0.040      0.125
