#####################################################################################################
# 12/11/2024, EXFOR: https://www-nds.iaea.org/exfor/servlet/X4sGetSubent?reqx=32861&subID=250050002 #
#####################################################################################################
#EN         EN-ERR     DATA       DATA-ERR
#MEV        MEV        MB         MB
    0.85E-1    0.15E-2    0.35E-7    0.99E-8
    0.90E-1    0.16E-2    0.52E-7    0.90E-8
    0.92E-1    0.15E-2    0.69E-7    0.12E-7
    0.95E-1    0.15E-2    0.69E-7    0.12E-7
    0.96E-1    0.14E-2    0.72E-7    0.72E-8
    0.10E+0    0.15E-2    0.11E-6    0.26E-7
    0.11E+0    0.14E-2    0.23E-6    0.47E-7
    0.11E+0    0.16E-2    0.26E-6    0.50E-7
    0.12E+0    0.15E-2    0.42E-6    0.44E-7
    0.12E+0    0.15E-2    0.63E-6    0.72E-7
    0.13E+0    0.15E-2    0.79E-6    0.95E-7
