#####################################################################################################
# 12/11/2024, EXFOR: https://www-nds.iaea.org/exfor/servlet/X4sGetSubent?reqx=32861&subID=100191002 #
#####################################################################################################
#ANG        EN         DATA       DATA-ERR
#ADEG       KEV        MU-B/SR    MU-B/SR
        90.       151.    0.35E-3      2.E-4
        90.       198.    0.26E-2     2.8E-4
        90.       215.    0.42E-2     5.5E-4
        90.       241.     9.8E-3     1.1E-3
        90.       257.    1.32E-2       0       
        90.       280.    2.73E-2       0       
        90.       301.    4.21E-2       0       
        90.       311.    5.43E-2       0       
        90.       312.    6.63E-2       0       
        90.       326.    9.23E-2       0       
        90.       345.    1.23E-1       0       
        90.       350.    1.51E-1       0       
        90.       360.    1.99E-1       0       
        90.       373.    2.77E-1       0       
        90.       386.    4.04E-1       0       
        90.       389.    5.23E-1       0       
        90.       397.    6.64E-1       0       
        90.       406.         1.       0       
        90.       419.       1.31       0       
        90.       428.       2.59       0       
        90.       438.       4.75       0       
        90.       443.       7.77       0       
        90.       465.       9.41       0       
        90.       471.       7.37       0       
        90.       472.       5.75       0       
        90.       479.       4.57       0       
        90.       491.       2.84       0       
        90.       502.       1.92       0       
        90.       524.    7.87E-1       0       
        90.       545.    5.31E-1       0       
        90.       576.    3.46E-1     3.8E-2
        90.       604.    2.56E-1     2.8E-2
        90.       629.    1.89E-1     2.1E-2
        90.       656.    1.72E-1     1.9E-2
        90.       682.    9.47E-2    2.18E-2
        90.       699.    1.06E-1    2.44E-2
        90.       725.    8.38E-2    2.36E-2
        90.       752.    7.09E-2     7.7E-3
        90.       777.    5.46E-2     9.8E-3
        90.       804.    6.21E-2    1.43E-2
        90.       851.    4.27E-2     9.8E-3
        90.       903.     4.6E-2    1.06E-2
        90.       952.    2.87E-2     9.7E-3
        90.      1005.    2.31E-2     7.2E-3
        90.      1051.    1.51E-2     5.9E-3
        90.      1106.    2.69E-2     4.8E-3
        90.      1155.    2.32E-2     5.3E-3
        90.      1205.    2.76E-2     6.4E-3
        90.      1254.    4.46E-2     5.9E-3
        90.      1355.    3.64E-2     8.4E-3
        90.      1404.    7.45E-2     1.3E-3
        90.      1450.    4.25E-2     9.8E-3
        90.      1503.    1.21E-1     1.6E-2
        90.      1527.    1.47E-1     1.6E-2
        90.      1550.    1.61E-1       0
        90.      1580.    2.01E-1       0
        90.      1619.    2.98E-1       0
        90.      1626.    5.45E-1       0
        90.      1654.       1.02       0
        90.      1658.       1.48       0
        90.      1671.       1.81       0
        90.      1683.       2.52       0
        90.      1698.        3.7       0
        90.      1715.       4.25       0
        90.      1729.       3.61       0
        90.      1737.         3.       0
        90.      1748.       1.51       0
        90.      1757.       2.33       0
        90.      1777.    9.06E-1       0
        90.      1806.    5.24E-1       0
        90.      1856.    2.81E-1       0
        90.      1905.    1.95E-1       0
        90.      1952.    1.82E-1       0
        90.      2002.    1.46E-1       0
        90.      2054.    1.27E-1     2.3E-2
        90.      2101.    1.54E-1     2.4E-2
        90.      2200.     1.4E-1     2.2E-2
        90.      2239.    1.44E-1       0
        90.      2306.    1.39E-1       0
        90.      2406.    1.36E-1       0
        90.      2503.    1.62E-1       0
         0.       141.    2.78E-4     1.7E-4
         0.       190.    2.76E-3      3.E-4
         0.       209.    4.23E-3     4.7E-5
         0.       244.    1.02E-2    1.16E-3
         0.       249.    1.44E-2    1.58E-3
         0.       273.    2.77E-2    3.03E-3
         0.       290.    4.36E-2    4.78E-3
         0.       303.    5.31E-2    5.81E-3
         0.       310.    7.24E-2     7.9E-3
         0.       330.    1.08E-1     1.2E-2
         0.       331.     1.2E-1     1.3E-2
         0.       340.    1.45E-1     1.6E-2
         0.       350.    1.87E-1      2.E-2
         0.       364.    2.72E-1      3.E-2
         0.       370.    3.56E-1     3.9E-2
         0.       387.    5.35E-1     5.8E-2
         0.       396.    6.31E-1     6.9E-2
         0.       407.    9.49E-1       0
         0.       418.        1.4       0
         0.       425.       2.73       0
         0.       434.        4.7       0
         0.       438.       7.23       0
         0.       449.       9.68       0
         0.       459.       7.34       0
         0.       472.       5.57       0
         0.       473.       4.37       0
         0.       493.       2.34       0
         0.       505.       1.64       0
         0.       521.     7.7E-1       0
         0.       548.    4.04E-1       0
         0.       573.    3.32E-1       0
         0.       597.    2.38E-1       0
         0.       617.    1.82E-1       0
         0.       646.    1.55E-1       0
         0.       671.    1.05E-1     2.4E-2
         0.       698.    1.21E-1     2.2E-2
         0.       721.     9.3E-2       0
         0.       750.    8.42E-2     1.5E-2
         0.       771.    8.25E-2     1.4E-2
         0.       798.    5.28E-2    1.22E-2
