#####################################################################################################
# 12/11/2024, EXFOR: https://www-nds.iaea.org/exfor/servlet/X4sGetSubent?reqx=32861&subID=121672003 #
#####################################################################################################
#EN         DATA       DATA-ERR
#KEV        MICRO-B    PER-CENT
      195.0      0.025       95.0
      211.0      0.036       56.0
      228.5      0.081       38.0
      244.5      0.103       19.0
      261.0      0.196       13.0
      277.0      0.301        7.0
      293.5      0.385        6.0
      295.0      0.409        8.0
      303.0      0.486        8.0
      310.0       0.60        6.0
      311.5       0.64        8.0
      318.0       0.71        6.0
      319.5       0.79        8.0
      324.0       0.81        8.0
      327.0       0.90        5.0
      328.0       0.90        7.0
      332.0       1.07        7.0
      335.0       1.11        4.0
      336.0       1.10        7.0
      342.0       1.40        6.0
      352.0       1.73        4.0
      359.0       2.11        4.0
      361.0       2.14        6.0
      368.0       2.70        4.0
      369.0       2.66        6.0
      376.5       3.31        4.0
      377.5       3.36        6.0
      386.0       4.27        5.0
      394.0       6.10        5.0
      402.0       8.12        5.0
      410.5       11.4        5.0
      419.0       16.4        5.0
      427.0       24.6        5.0
      435.0       40.5        5.0
      440.0       49.4        3.0
      443.4       67.6        5.0
      445.0       71.0        3.0
      447.7       82.2        3.0
      450.0       96.0        3.0
      452.8      106.2        3.0
      455.3      112.8        3.0
      457.9      124.2        3.0
      460.4      130.0        3.0
      463.0      124.0        3.0
      465.6      118.1        3.0
      468.0      107.4        3.0
      470.7       94.0        3.0
      475.8       73.8        3.0
      481.0       52.0        3.0
      486.0       44.1        3.0
      491.0       35.5        3.0
      496.0       26.7        3.0
      501.0       22.1        3.0
      506.5       18.9        3.0
      512.0       15.9        3.0
      517.0       13.8        4.0
      522.0       11.6        4.0
      527.0       10.6        4.0
      532.0        9.1        4.0
      537.0        8.4        4.0
      542.0        7.1        4.0
      547.0        6.6        4.0
      552.5        6.1        4.0
      558.0        4.7        4.0
      563.0        5.0        4.0
      568.0        4.7        4.0
      573.0        4.1        4.0
      578.0        4.0        4.0
      583.0        3.6        4.0
      588.0        3.4        4.0
      593.0       3.11        4.0
      604.0       2.77        4.0
      614.0       2.51        4.0
      624.0       2.44        4.0
      634.0       1.85        5.0
      645.0       1.82        5.0
      654.5       1.67        5.0
      665.0       1.47        5.0
      675.0       1.45        5.0
      685.0       1.17        5.0
